epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.97096,1.49957,2.98744,1.72892,0.00333,0.82759,0.39449,0.24437,0.61747,2.80706,0.8937,0.0001,0.0001,0.0001
2,3.12533,0.91937,2.35105,1.35037,0.00333,0.82759,0.70597,0.56247,0.56727,2.62543,0.80761,0.000217822,0.000217822,0.000217822
3,4.23017,0.88891,1.51673,1.28102,0.63386,0.59723,0.59104,0.44659,0.71349,2.57126,0.97108,0.000333268,0.000333268,0.000333268
4,5.30105,0.8526,1.52209,1.24535,0.93321,0.48183,0.73757,0.57815,0.77533,2.43825,0.98056,0.000446338,0.000446338,0.000446338
5,6.40652,0.84021,1.45809,1.21845,0.80952,0.29392,0.70645,0.52742,0.70879,2.40002,0.96264,0.000557032,0.000557032,0.000557032
6,7.45508,0.86898,1.38338,1.27254,0.81856,0.62233,0.66003,0.50947,0.70032,2.11642,1.03845,0.00066535,0.00066535,0.00066535
7,8.52107,0.86706,1.28304,1.18908,0.68706,0.31034,0.42168,0.29318,1.0134,2.47413,1.33622,0.000771292,0.000771292,0.000771292
8,9.59592,0.81731,1.18171,1.17939,0.49511,0.41379,0.37163,0.19949,1.50509,2.75133,1.83297,0.000874858,0.000874858,0.000874858
9,10.6883,0.8039,1.15103,1.12796,0.38392,0.31034,0.33147,0.16223,1.28018,2.80431,1.57849,0.000976048,0.000976048,0.000976048
10,11.7354,0.90609,1.29075,1.18409,0.59247,0.34483,0.4385,0.19698,1.15711,2.64998,1.53056,0.00107486,0.00107486,0.00107486
11,12.7892,0.94769,1.28006,1.23136,0.51817,0.51924,0.51707,0.31014,1.12249,2.30997,1.47575,0.0011713,0.0011713,0.0011713
12,13.8562,0.80291,1.1881,1.18279,0.79041,0.72414,0.71821,0.47857,0.80949,1.61882,1.12847,0.00126536,0.00126536,0.00126536
13,14.8981,0.87339,1.1556,1.19255,0.73125,0.58621,0.61885,0.43435,0.96536,1.90797,1.41292,0.00135705,0.00135705,0.00135705
14,15.9464,0.83809,1.08081,1.14206,0.83366,0.75862,0.75032,0.53518,1.02133,2.27605,1.49159,0.00144636,0.00144636,0.00144636
15,16.9777,0.88927,1.11776,1.24048,0.85521,0.68966,0.7334,0.54867,0.9939,2.03201,1.35259,0.00153329,0.00153329,0.00153329
16,18.0157,0.92439,1.15789,1.21432,0.91478,0.72414,0.7446,0.64247,0.84784,1.55734,1.12463,0.00161785,0.00161785,0.00161785
17,19.0498,0.92538,1.1981,1.22939,0.92685,0.72414,0.75488,0.57657,1.01846,1.64258,1.42986,0.0016832,0.0016832,0.0016832
18,20.0906,0.86941,1.10917,1.17964,0.71408,0.75862,0.68469,0.49973,0.96508,2.15161,1.2362,0.0016634,0.0016634,0.0016634
19,21.1237,0.86678,1.14112,1.19313,0.79674,0.67615,0.70136,0.37982,1.22925,2.28602,1.52727,0.0016436,0.0016436,0.0016436
20,22.2009,0.79429,1.00926,1.1343,1,0.71671,0.75315,0.47477,1.1228,1.88305,1.48445,0.0016238,0.0016238,0.0016238
21,23.2132,0.84289,1.04661,1.19436,0.88798,0.75862,0.75265,0.5294,1.03481,1.72867,1.46949,0.001604,0.001604,0.001604
22,24.2776,0.84779,1.0452,1.19071,0.81755,0.65517,0.72266,0.53448,0.85384,1.52226,1.11639,0.0015842,0.0015842,0.0015842
23,25.3148,0.79804,0.96746,1.15715,0.7482,0.71745,0.66672,0.47284,0.91917,1.57407,1.20539,0.0015644,0.0015644,0.0015644
24,26.3973,0.85514,0.98027,1.1589,0.57821,0.68966,0.55798,0.31821,1.23114,1.81388,1.48802,0.0015446,0.0015446,0.0015446
25,27.4315,0.78004,0.91515,1.11775,0.47958,0.44828,0.34568,0.19012,1.38888,2.07672,1.57302,0.0015248,0.0015248,0.0015248
26,28.4674,0.83946,0.92782,1.14512,0.26349,0.55172,0.31089,0.16709,1.55845,2.0111,1.515,0.001505,0.001505,0.001505
27,29.5306,0.8028,0.81398,1.12771,0.64915,0.70206,0.61973,0.43272,0.96983,1.44726,1.13877,0.0014852,0.0014852,0.0014852
28,30.5701,0.79837,0.93839,1.13927,0.52879,0.55172,0.46883,0.35747,1.08269,1.76247,1.24496,0.0014654,0.0014654,0.0014654
29,31.606,0.82915,0.90645,1.15843,0.76663,0.62069,0.60586,0.46729,1.03178,1.6022,1.20303,0.0014456,0.0014456,0.0014456
30,32.6629,0.82623,0.86108,1.15496,0.9521,0.68553,0.71236,0.61134,0.76499,1.15208,0.97145,0.0014258,0.0014258,0.0014258
31,33.7234,0.76083,0.82001,1.1162,0.99406,0.72414,0.76965,0.66154,0.74607,0.94855,0.95062,0.001406,0.001406,0.001406
32,34.8418,0.71747,0.79631,1.0995,0.91913,0.78414,0.78852,0.65135,0.78781,0.99885,0.94438,0.0013862,0.0013862,0.0013862
33,35.9611,0.84676,0.84643,1.17105,0.87423,0.7931,0.78851,0.68158,0.67708,1.01064,0.86105,0.0013664,0.0013664,0.0013664
34,37.1234,0.86309,0.89236,1.15013,1,0.7119,0.77876,0.66462,0.63882,1.03731,0.79969,0.0013466,0.0013466,0.0013466
