epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.9657,1.45605,2.87551,1.69154,0.00504,0.86111,0.43402,0.27197,0.81023,2.82078,1.09613,0.0002,0.0002,0.0002
2,4.85621,1.40846,2.44592,1.6133,1,0.13807,0.4469,0.27736,1.01348,2.634,1.31599,0.000415842,0.000415842,0.000415842
3,6.77925,1.47391,2.01105,1.57867,0.58178,0.15278,0.36632,0.20929,1.16197,2.4808,1.50785,0.000627328,0.000627328,0.000627328
4,8.58003,1.24747,1.84659,1.42585,0.76569,0.45393,0.49585,0.32571,1.07986,2.13764,1.32594,0.000834458,0.000834458,0.000834458
5,10.36,1.19153,1.62445,1.3732,0.73682,0.41667,0.42327,0.18544,1.56517,2.44935,1.9173,0.00103723,0.00103723,0.00103723
6,12.1232,1.33764,1.62972,1.48138,0.36421,0.42964,0.28586,0.14391,1.28732,2.43121,1.64682,0.00123565,0.00123565,0.00123565
7,13.9046,1.27801,1.77028,1.43823,0.57468,0.33786,0.39999,0.26456,1.19444,1.93971,1.49066,0.00142971,0.00142971,0.00142971
8,15.6489,1.16454,1.45902,1.36772,0.42202,0.44444,0.3455,0.1723,1.50889,3.26581,2.0531,0.00161942,0.00161942,0.00161942
9,17.4081,1.26766,1.48758,1.42688,0.30301,0.44444,0.18748,0.09686,1.52187,3.14149,1.95376,0.00180477,0.00180477,0.00180477
10,19.1919,1.3001,1.54521,1.45864,0.60447,0.44577,0.46335,0.30904,1.29993,2.05787,1.58588,0.0018218,0.0018218,0.0018218
11,20.926,1.40476,1.65017,1.63294,0.67541,0.44444,0.40525,0.2311,1.34834,1.90457,1.7454,0.001802,0.001802,0.001802
12,22.7016,1.20629,2.24261,1.31733,0.78821,0.41667,0.43582,0.29055,1.19504,1.6919,1.44081,0.0017822,0.0017822,0.0017822
13,24.4226,1.25331,1.39678,1.42985,0.73573,0.48611,0.48317,0.2964,1.16314,1.53113,1.47177,0.0017624,0.0017624,0.0017624
14,26.3229,1.28426,1.3844,1.43504,0.67114,0.48611,0.50897,0.32488,1.20443,2.32695,1.56926,0.0017426,0.0017426,0.0017426
15,28.066,1.22448,1.47497,1.38514,0.47805,0.44444,0.42897,0.26678,1.28064,2.58562,1.61417,0.0017228,0.0017228,0.0017228
16,29.8236,1.24717,1.37122,1.42122,0.60963,0.48611,0.49326,0.26707,1.25461,1.96697,1.5674,0.001703,0.001703,0.001703
17,31.6729,1.3121,1.40607,1.44703,0.87359,0.51389,0.5766,0.37376,1.07615,1.37709,1.31734,0.0016832,0.0016832,0.0016832
18,33.44,1.15508,1.25635,1.3662,0.74306,0.52223,0.61108,0.41419,0.95336,1.44207,1.20075,0.0016634,0.0016634,0.0016634
19,35.2197,1.18178,1.25401,1.39035,0.62586,0.60412,0.62426,0.42949,0.96692,1.20523,1.23329,0.0016436,0.0016436,0.0016436
20,37.0266,1.23363,1.33181,1.37853,0.89418,0.46949,0.63246,0.37528,1.07998,1.24205,1.43141,0.0016238,0.0016238,0.0016238
21,38.7812,1.18578,1.14876,1.37371,0.80701,0.41667,0.54484,0.34634,1.12924,1.38788,1.41885,0.001604,0.001604,0.001604
