epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.48748,1.38863,3.4505,1.69153,0.00327,0.96162,0.29065,0.19001,0.76106,3.05487,1.16558,0.00017148,0.00017148,0.00017148
2,5.72638,1.18599,2.76265,1.54837,0.00326,0.96162,0.33782,0.18626,0.80045,2.87071,1.20029,0.000353713,0.000353713,0.000353713
3,7.90388,1.19738,2.58527,1.49474,0.62547,0.22656,0.43534,0.26321,0.93857,2.46889,1.27834,0.000532268,0.000532268,0.000532268
4,10.0602,1.14198,2.37088,1.41807,0.32024,0.47315,0.33689,0.20156,1.09051,2.3091,1.67971,0.000707145,0.000707145,0.000707145
5,12.1758,1.20184,2.32339,1.47443,0.24239,0.50083,0.31907,0.19978,0.99135,2.34648,1.42887,0.000878343,0.000878343,0.000878343
6,14.2998,1.25238,2.35803,1.50372,0.17115,0.59351,0.32603,0.19113,1.10803,2.56629,1.58991,0.00104586,0.00104586,0.00104586
7,16.3629,1.20257,2.24027,1.44091,0.15389,0.4932,0.20717,0.12318,0.91745,2.91161,1.36722,0.00120971,0.00120971,0.00120971
8,18.447,1.1428,2.15853,1.42454,0.27736,0.43863,0.2764,0.18247,0.99045,3.15855,1.47937,0.00132997,0.00132997,0.00132997
9,20.5477,1.22393,2.20373,1.45274,0.35715,0.55168,0.45538,0.31042,0.9891,2.11775,1.39404,0.00131582,0.00131582,0.00131582
10,22.6986,1.24875,2.20334,1.51551,0.34903,0.53852,0.40486,0.27104,0.9572,2.71428,1.30809,0.00130168,0.00130168,0.00130168
11,24.786,1.21748,2.06821,1.4589,0.40794,0.54686,0.43302,0.30722,0.8878,2.79076,1.3511,0.00128753,0.00128753,0.00128753
12,26.8885,1.24455,2.06798,1.47866,0.36379,0.36499,0.32425,0.19569,1.23747,3.51231,1.76654,0.00127338,0.00127338,0.00127338
13,28.937,1.17766,1.97706,1.39272,0.21128,0.46228,0.27099,0.13777,1.2263,2.64066,1.59944,0.00125923,0.00125923,0.00125923
14,30.9994,1.23619,2.08718,1.51214,0.42808,0.43823,0.4354,0.31641,0.85874,2.84194,1.24883,0.00124509,0.00124509,0.00124509
15,33.0449,1.12992,1.87318,1.39767,0.34816,0.72029,0.48913,0.35005,0.88421,2.08947,1.2718,0.00123094,0.00123094,0.00123094
16,35.1934,1.19086,2.00344,1.46614,0.42732,0.66807,0.60532,0.38748,1.00083,1.71701,1.35384,0.00121679,0.00121679,0.00121679
17,37.2662,1.08864,1.78914,1.36399,0.58317,0.74657,0.60319,0.41373,0.90429,1.83888,1.25275,0.00120265,0.00120265,0.00120265
18,39.3308,1.15161,1.85374,1.39177,0.3879,0.55256,0.49723,0.31174,0.99603,2.18813,1.35327,0.0011885,0.0011885,0.0011885
19,41.3862,1.15733,1.85184,1.4231,0.34302,0.61859,0.52067,0.35632,0.82812,1.95884,1.18939,0.00117435,0.00117435,0.00117435
20,43.4238,1.13255,1.76918,1.35869,0.41133,0.61076,0.51425,0.34696,0.94602,1.67579,1.2965,0.00116021,0.00116021,0.00116021
21,45.4943,1.02938,1.70466,1.32264,0.35848,0.42507,0.40391,0.27669,1.21013,2.00568,1.5073,0.00114606,0.00114606,0.00114606
22,47.5733,1.11387,1.79526,1.36183,0.11258,0.19466,0.07009,0.04688,1.88182,3.1035,2.10634,0.00113191,0.00113191,0.00113191
23,49.6262,1.13007,1.72347,1.38046,0.30562,0.58816,0.43247,0.28619,1.05556,1.96545,1.40938,0.00111776,0.00111776,0.00111776
24,51.7577,1.12605,1.64713,1.37127,0.38219,0.7778,0.55594,0.39841,0.8655,1.64627,1.21151,0.00110362,0.00110362,0.00110362
25,53.8365,0.9809,1.53707,1.30099,0.47956,0.73209,0.53992,0.39255,0.91506,1.66678,1.23609,0.00108947,0.00108947,0.00108947
26,55.9165,1.0579,1.62641,1.33256,0.5304,0.71292,0.55444,0.43857,0.74977,1.94677,1.10807,0.00107532,0.00107532,0.00107532
27,58.0647,0.98265,1.54946,1.25927,0.35616,0.59535,0.55279,0.4465,0.62194,1.75931,1.02287,0.00106118,0.00106118,0.00106118
28,60.1975,1.03281,1.65096,1.31216,0.49253,0.70077,0.48654,0.39625,0.71319,1.42502,1.09396,0.00104703,0.00104703,0.00104703
29,62.2704,0.97785,1.56198,1.27836,0.42953,0.66324,0.51299,0.39873,0.72621,1.53347,1.11753,0.00103288,0.00103288,0.00103288
30,64.3403,1.00567,1.48772,1.30083,0.49387,0.70863,0.53617,0.4135,0.73418,1.41654,1.10416,0.00101873,0.00101873,0.00101873
31,66.3917,1.0276,1.53363,1.30693,0.5335,0.76384,0.57048,0.46474,0.67553,1.28403,1.07815,0.00100459,0.00100459,0.00100459
32,68.5025,1.05589,1.53263,1.30986,0.60129,0.71136,0.5598,0.44028,0.76693,1.29313,1.12942,0.00099044,0.00099044,0.00099044
33,70.5796,0.98257,1.45905,1.27196,0.43768,0.79808,0.56607,0.45148,0.70253,1.28399,1.08903,0.000976293,0.000976293,0.000976293
34,72.6695,1.03197,1.47009,1.29005,0.37171,0.77792,0.55272,0.43663,0.68857,1.39373,1.07566,0.000962146,0.000962146,0.000962146
35,74.7379,1.04431,1.57311,1.3019,0.45778,0.71682,0.53354,0.42689,0.70406,1.39091,1.07969,0.000947999,0.000947999,0.000947999
36,76.8264,0.95624,1.38207,1.25246,0.46395,0.72761,0.51726,0.41202,0.77738,1.41649,1.10307,0.000933851,0.000933851,0.000933851
37,78.9064,0.95082,1.41827,1.24663,0.44385,0.68414,0.48145,0.38522,0.71786,1.44473,1.08509,0.000919704,0.000919704,0.000919704
38,80.991,0.98513,1.39435,1.26928,0.43819,0.71986,0.52432,0.38568,0.91379,1.40574,1.2222,0.000905557,0.000905557,0.000905557
39,83.0573,0.96462,1.39598,1.274,0.50507,0.68575,0.61987,0.50593,0.66707,1.246,1.02914,0.00089141,0.00089141,0.00089141
40,85.2328,0.99013,1.41511,1.26919,0.51792,0.67003,0.56655,0.43947,0.7416,1.25584,1.06296,0.000877263,0.000877263,0.000877263
41,87.5607,0.96988,1.43888,1.27622,0.44258,0.66108,0.59353,0.47267,0.74359,1.26362,1.08648,0.000863116,0.000863116,0.000863116
42,89.9968,0.88291,1.32602,1.22394,0.53222,0.69406,0.668,0.55219,0.68492,1.25459,1.05782,0.000848969,0.000848969,0.000848969
43,93.8926,0.96125,1.33143,1.25228,0.41321,0.70709,0.55054,0.43554,0.75081,1.49996,1.11018,0.000834822,0.000834822,0.000834822
44,98.6026,0.97262,1.42329,1.27314,0.5719,0.69952,0.65066,0.53326,0.72018,1.23482,1.0476,0.000820675,0.000820675,0.000820675
45,103.687,0.95979,1.34093,1.26389,0.5318,0.65863,0.57561,0.4773,0.75126,1.30139,1.08149,0.000806528,0.000806528,0.000806528
46,108.421,0.84932,1.26733,1.18013,0.55649,0.67549,0.60456,0.4922,0.75854,1.22028,1.11137,0.00079238,0.00079238,0.00079238
47,112.237,1.01807,1.40777,1.29881,0.5921,0.61911,0.54437,0.42268,0.68625,1.34726,1.03917,0.000778233,0.000778233,0.000778233
48,114.375,0.99761,1.39791,1.26031,0.57038,0.70316,0.58364,0.48622,0.69496,1.20109,1.02504,0.000764086,0.000764086,0.000764086
49,116.47,0.96559,1.36891,1.26066,0.49346,0.78589,0.57083,0.47157,0.69892,1.22966,1.03861,0.000749939,0.000749939,0.000749939
50,118.577,0.91797,1.33811,1.24172,0.44241,0.76584,0.51865,0.43971,0.63968,1.29443,0.99934,0.000735792,0.000735792,0.000735792
51,120.677,0.96456,1.35039,1.2704,0.42238,0.75013,0.52055,0.45055,0.62622,1.29216,0.99554,0.000721645,0.000721645,0.000721645
