epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.21587,1.42404,3.468,1.71974,0.00321,0.95767,0.26316,0.17467,0.93975,3.084,1.29582,0.00017148,0.00017148,0.00017148
2,13.44,1.17967,2.77162,1.50517,0.00321,0.95767,0.29866,0.20487,0.93044,2.81839,1.26086,0.000353713,0.000353713,0.000353713
3,18.546,1.12485,2.54735,1.46122,0.89831,0.07143,0.19405,0.12984,1.07277,2.80802,1.46752,0.000532268,0.000532268,0.000532268
4,23.2823,1.14389,2.32906,1.39437,0.64352,0.1521,0.34863,0.22823,1.07851,2.54669,1.44003,0.000707145,0.000707145,0.000707145
5,27.879,1.18463,2.29315,1.42401,0.2861,0.26859,0.30554,0.22322,1.05026,2.5591,1.4056,0.000878343,0.000878343,0.000878343
6,32.898,1.18826,2.26082,1.46462,0.2835,0.51405,0.38339,0.27539,1.05836,2.34936,1.44794,0.00104586,0.00104586,0.00104586
7,37.4898,1.10061,2.17792,1.38356,0.27823,0.37566,0.31122,0.20502,1.23056,2.6428,1.57393,0.00120971,0.00120971,0.00120971
8,42.1693,1.27015,2.22728,1.48866,0.37545,0.22222,0.23375,0.13913,1.69189,3.30724,1.87389,0.00132997,0.00132997,0.00132997
9,46.6909,1.21104,2.10042,1.47706,0.31193,0.40741,0.29797,0.2067,1.15242,2.74389,1.50635,0.00131582,0.00131582,0.00131582
10,51.3598,1.18194,2.07298,1.4621,0.24677,0.4892,0.24944,0.1704,1.33282,3.22741,1.65351,0.00130168,0.00130168,0.00130168
11,55.8201,1.18953,2.06417,1.44824,0.30816,0.66402,0.41342,0.27236,1.2478,2.64204,1.66508,0.00128753,0.00128753,0.00128753
12,60.4131,1.16997,1.95153,1.40656,0.34189,0.40581,0.31726,0.22211,1.17555,2.8765,1.5007,0.00127338,0.00127338,0.00127338
13,64.865,1.21357,1.94646,1.44775,0.29872,0.46821,0.36298,0.23775,1.13848,2.68875,1.52173,0.00125923,0.00125923,0.00125923
14,68.7694,1.19642,1.92083,1.43585,0.35666,0.53928,0.41422,0.279,1.15612,2.11682,1.51747,0.00124509,0.00124509,0.00124509
15,70.8466,1.04772,1.82707,1.3297,0.34937,0.40741,0.34437,0.21531,1.15091,2.08187,1.5104,0.00123094,0.00123094,0.00123094
16,72.895,1.14788,1.80339,1.42325,0.43487,0.46269,0.39512,0.2783,1.27078,1.91539,1.52264,0.00121679,0.00121679,0.00121679
17,75.029,1.10404,1.71284,1.34719,0.41423,0.35132,0.41073,0.28807,1.15166,1.93617,1.41621,0.00120265,0.00120265,0.00120265
18,77.1479,1.14417,1.77311,1.38079,0.5986,0.48573,0.44686,0.31212,1.04534,1.8117,1.32319,0.0011885,0.0011885,0.0011885
19,79.2129,1.12568,1.76362,1.35515,0.47073,0.45238,0.42898,0.28479,1.11567,1.84068,1.40126,0.00117435,0.00117435,0.00117435
20,81.3055,1.09661,1.70368,1.34515,0.38173,0.50529,0.42059,0.25544,1.52136,2.15484,1.71203,0.00116021,0.00116021,0.00116021
21,83.3814,1.0502,1.62151,1.33019,0.3844,0.59788,0.4557,0.34599,1.16729,1.77587,1.39626,0.00114606,0.00114606,0.00114606
22,85.5136,1.07879,1.69239,1.33359,0.30392,0.50965,0.32385,0.20372,1.20498,2.24574,1.48455,0.00113191,0.00113191,0.00113191
23,87.6128,1.07394,1.66755,1.34429,0.22205,0.56614,0.36494,0.27309,0.99726,2.60181,1.34483,0.00111776,0.00111776,0.00111776
24,89.736,1.1043,1.64052,1.34227,0.40636,0.58466,0.4806,0.32342,1.14368,1.83993,1.35926,0.00110362,0.00110362,0.00110362
25,91.7888,1.01092,1.56379,1.29636,0.26564,0.59171,0.3943,0.29623,0.94946,2.21341,1.2313,0.00108947,0.00108947,0.00108947
26,93.8624,1.04491,1.65826,1.33278,0.32678,0.49916,0.44703,0.34069,0.93981,1.79018,1.21991,0.00107532,0.00107532,0.00107532
27,95.9293,1.01043,1.59895,1.30842,0.34654,0.53704,0.40962,0.31458,0.94959,1.65473,1.24362,0.00106118,0.00106118,0.00106118
28,97.994,1.06468,1.61225,1.33821,0.37058,0.54762,0.4628,0.35462,1.00793,1.83101,1.28637,0.00104703,0.00104703,0.00104703
29,100.089,1.01134,1.54083,1.28211,0.38868,0.61671,0.44489,0.34214,0.9956,1.68534,1.34239,0.00103288,0.00103288,0.00103288
30,102.244,0.94859,1.46407,1.28924,0.39075,0.62031,0.48919,0.38352,0.93939,1.65987,1.26556,0.00101873,0.00101873,0.00101873
31,104.339,1.02624,1.53452,1.30675,0.47133,0.50529,0.45187,0.34244,0.92483,1.8114,1.19738,0.00100459,0.00100459,0.00100459
32,106.449,0.97785,1.49989,1.27598,0.52136,0.67045,0.54252,0.38696,0.97692,1.51602,1.22263,0.00099044,0.00099044,0.00099044
33,108.501,0.9331,1.41316,1.2398,0.36452,0.62535,0.45906,0.33425,0.91727,1.61652,1.21222,0.000976293,0.000976293,0.000976293
34,110.579,0.93184,1.44659,1.24621,0.38608,0.46825,0.40198,0.30925,0.97249,1.75216,1.2277,0.000962146,0.000962146,0.000962146
