epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.74078,1.42959,3.48374,1.69969,0.0033,0.83333,0.31254,0.23451,0.64005,2.97596,1.03762,0.00017148,0.00017148,0.00017148
2,4.8749,1.18887,2.71619,1.53843,0.00323,0.85185,0.36199,0.26872,0.80256,2.742,1.25089,0.000353713,0.000353713,0.000353713
3,6.9852,1.1145,2.58207,1.48084,0.6314,0.12845,0.35552,0.24883,0.78421,2.50829,1.18481,0.000532268,0.000532268,0.000532268
4,9.04603,1.19289,2.36936,1.43461,0.20873,0.20741,0.31259,0.22073,0.84838,2.41326,1.25171,0.000707145,0.000707145,0.000707145
5,11.1692,1.20819,2.33023,1.43985,0.47911,0.30685,0.38056,0.26539,0.94266,2.37096,1.35125,0.000878343,0.000878343,0.000878343
6,13.2962,1.15077,2.26897,1.41996,0.30325,0.40404,0.30162,0.19006,0.87953,2.36638,1.34631,0.00104586,0.00104586,0.00104586
7,15.307,1.16516,2.15534,1.413,0.30381,0.51111,0.26365,0.15309,1.36719,3.82574,1.79582,0.00120971,0.00120971,0.00120971
8,18.2163,1.14548,2.16329,1.4041,0.35602,0.2569,0.2394,0.15782,1.02698,5.10056,1.63657,0.00132997,0.00132997,0.00132997
9,22.6803,1.17084,2.16213,1.4112,0.24207,0.50168,0.2731,0.18058,0.86471,5.09009,1.34804,0.00131582,0.00131582,0.00131582
10,27.0216,1.19294,2.12135,1.44793,0.34587,0.16566,0.22986,0.13149,1.13126,3.26969,1.70589,0.00130168,0.00130168,0.00130168
11,31.4748,1.17897,2.08774,1.43897,0.22514,0.2596,0.22235,0.15638,0.94225,3.85463,1.39734,0.00128753,0.00128753,0.00128753
12,35.9654,1.15312,2.05766,1.38521,0.36946,0.52828,0.34031,0.23293,1.01797,2.52376,1.43741,0.00127338,0.00127338,0.00127338
