epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.35007,0.74724,1.15141,1.92375,1.0971,0.92267,0.82952,0.96065,0.83815,0.92267,0.82952,0.96065,0.84799,0.50692,0.69412,1.30567,0.77864,0.00034296,0.00034296,0.00034296
2,7.56039,0.87415,1.25239,2.1879,1.20856,0.80137,0.78042,0.89245,0.77232,0.80137,0.78042,0.89245,0.76008,0.57978,0.8203,1.90187,0.81236,0.000693278,0.000693278,0.000693278
3,10.5653,0.98516,1.45998,2.5817,1.2756,0.71908,0.72075,0.80226,0.66445,0.72409,0.75256,0.79315,0.63049,0.67515,1.19839,2.04966,0.9153,0.00103652,0.00103652,0.00103652
4,13.5605,0.93959,1.38586,2.46364,1.23918,0.65906,0.69021,0.76633,0.6298,0.64624,0.67205,0.76263,0.62665,0.62085,1.14343,3.44678,0.88091,0.00137269,0.00137269,0.00137269
5,16.5474,0.92148,1.40171,2.36456,1.22114,0.61784,0.69577,0.73984,0.61773,0.60494,0.67725,0.71464,0.58704,0.70964,1.37168,3.03275,0.94052,0.00137241,0.00137241,0.00137241
6,19.5476,0.95067,1.42219,2.42883,1.24552,0.68995,0.63687,0.71603,0.57119,0.68545,0.63638,0.71429,0.5784,0.72182,1.24115,2.46557,0.92542,0.00135826,0.00135826,0.00135826
7,22.5095,0.96318,1.38004,2.46594,1.22998,0.73961,0.56614,0.66734,0.54181,0.74939,0.58466,0.66657,0.54781,0.78744,1.17434,2.59918,0.98236,0.00134412,0.00134412,0.00134412
8,25.4512,0.96053,1.46488,2.5603,1.24977,0.73545,0.60317,0.71973,0.58446,0.73545,0.60317,0.71432,0.57773,0.76201,1.25635,2.53978,0.96791,0.00132997,0.00132997,0.00132997
9,28.4211,0.97203,1.37564,2.52274,1.26454,0.67473,0.60629,0.76292,0.60685,0.71548,0.59031,0.75069,0.59098,0.7227,1.30257,2.40191,0.96539,0.00131582,0.00131582,0.00131582
10,31.4636,1.0007,1.53704,2.52252,1.28642,0.53916,0.73068,0.71838,0.58244,0.52849,0.76049,0.69832,0.5843,0.7612,1.52498,2.64658,1.03414,0.00130168,0.00130168,0.00130168
